filenamehost_nameline
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.585","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"open-log","v":{"path":"E:\\Tableau\\Tableau Server\\data\\tabsvc\\logs\\vizqlserver\\tabprotosrv_2.txt"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.586","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"startup-info","v":{"tableau-version":"9200.15.1201.0018,x64","cwd":"E:\\Tableau\\Tableau Server\\9.2\\repository\\jre\\bin","start-time":"2015-12-29T15:34:30.586","os":"Microsoft Windows Server 2012 R2 Standard (Build 9600)","domain":"","hostname":"WIN-FPC6VT52C21","process-id":"5556 (0x15b4)"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"memory-usage","v":{"load-percent":41,"free":140737273556992,"commit":208539648,"reserve":6193152}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"environment","v":{"ALLUSERSPROFILE":"C:\\ProgramData","PATHEXT":".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC","ComSpec":"C:\\Windows\\system32\\cmd.exe","PUBLIC":"C:\\Users\\Public","PROCESSOR_LEVEL":"6","APPDATA":"C:\\Windows\\ServiceProfiles\\NetworkService\\AppData\\Roaming","COMPUTERNAME":"WIN-FPC6VT52C21","ARBORPATH":"E:\\Tableau\\Tableau Server\\9.2\\bin\\essbase\\","CommonProgramW6432":"C:\\Program Files\\Common Files","CLASSPATH":"","CommonProgramFiles":"C:\\Program Files\\Common Files","CommonProgramFiles(x86)":"C:\\Program Files (x86)\\Common Files","ESSBASEPATH":"E:\\Tableau\\Tableau Server\\9.2\\bin\\essbase\\","FIREBIRD_LOCK":"E:\\Tableau\\Tableau Server\\data\\tabsvc\\temp\\TableauTemp\\firebird\\E192E1A11402459BAD358DC8EAEF919E","FIREBIRD_TMP":"E:\\Tableau\\Tableau Server\\data\\tabsvc\\temp\\TableauTemp\\firebird\\E192E1A11402459BAD358DC8EAEF919E","USERNAME":"WIN-FPC6VT52C21$","FP_NO_HOST_CHECK":"NO","PROCESSOR_REVISION":"1a05","LOCALAPPDATA":"C:\\Windows\\ServiceProfiles\\NetworkService\\AppData\\Local","NUMBER_OF_PROCESSORS":"8","OS":"Windows_NT","Path":"E:\\Tableau\\Tableau Server\\9.2\\bin\\essbase\\bin;E:\\Tableau\\Tableau Server\\9.2\\bin\\;C:\\Windows\\system32;C:\\Windows;C:\\Windows\\System32\\Wbem;C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\","PROCESSOR_ARCHITECTURE":"AMD64","PROCESSOR_IDENTIFIER":"Intel64 Family 6 Model 26 Stepping 5, GenuineIntel","ProgramData":"C:\\ProgramData","ProgramFiles":"C:\\Program Files","SystemRoot":"C:\\Windows","ProgramFiles(x86)":"C:\\Program Files (x86)","ProgramW6432":"C:\\Program Files","PSModulePath":"C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\","USERPROFILE":"C:\\Windows\\ServiceProfiles\\NetworkService","SystemDrive":"C:","TEMP":"E:\\Tableau\\Tableau Server\\data\\tabsvc\\temp","TMP":"E:\\Tableau\\Tableau Server\\data\\tabsvc\\temp","TMPDIR":"E:\\Tableau\\Tableau Server\\data\\tabsvc\\temp","USERDOMAIN":"WORKGROUP","windir":"C:\\Windows"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tabprotosrv.exe","product-name":"Tableau Protocol Server 9.2","file-version":"9200.15.1201.0018","product-version":"9200.15.1201.0018"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\SYSTEM32\\ntdll.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\KERNEL32.DLL","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\KERNELBASE.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\boost_system-vc120-mt-1_56.dll"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tabcore.dll","product-name":"Tableau 9.2","file-version":"9200.15.1201.0018","product-version":"9200.15.1201.0018"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tabdata.dll","product-name":"Tableau 9.2","file-version":"9200.15.1201.0018","product-version":"9200.15.1201.0018"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tabdatamodel.dll","product-name":"Tableau 9.2","file-version":"9200.15.1201.0018","product-version":"9200.15.1201.0018"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tabmixins.dll","product-name":"Tableau 9.2","file-version":"9200.15.1201.0018","product-version":"9200.15.1201.0018"}}
